region,ihk_item,date_month,year,month,Bulan,ihk,ihk_mom_pct,ihk_yoy_pct
DKI,makanan,01/01/2024,2024,1,January,108.54,,
DKI,makanan,01/02/2024,2024,2,February,109.63,1.004238069,
DKI,makanan,01/03/2024,2024,3,March,111.19,1.422968166,
DKI,makanan,01/04/2024,2024,4,April,111.16,-0.026980844,
DKI,makanan,01/05/2024,2024,5,May,110.84,-0.287873336,
DKI,makanan,01/06/2024,2024,6,June,110.3,-0.487188741,
DKI,makanan,01/07/2024,2024,7,July,109.23,-0.970081596,
DKI,makanan,01/08/2024,2024,8,August,108.66,-0.521834661,
DKI,makanan,01/09/2024,2024,9,September,108.02,-0.58899319,
DKI,makanan,01/10/2024,2024,10,October,108.12,0.092575449,
DKI,makanan,01/11/2024,2024,11,November,108.96,0.776914539,
DKI,makanan,01/12/2024,2024,12,December,110.41,1.330763583,
DKI,makanan,01/01/2025,2025,1,January,111.63,1.104972376,2.846876727
DKI,makanan,01/02/2025,2025,2,February,110.9,-0.653946072,1.158442032
DKI,makanan,01/03/2025,2025,3,March,112.78,1.69522092,1.429984711
DKI,makanan,01/04/2025,2025,4,April,112.96,0.159602766,1.619287513
DKI,makanan,01/05/2025,2025,5,May,111.38,-1.398725212,0.487188741
DKI,makanan,01/06/2025,2025,6,June,111.87,0.439935356,1.423390752
DKI,makanan,01/07/2025,2025,7,July,112.27,0.35755788,2.783118191
DKI,makanan,01/08/2025,2025,8,August,111.5,-0.68584662,2.61365728
DKI,makanan,01/09/2025,2025,9,September,111.86,0.322869955,3.554897241
DKI,makanan,01/10/2025,2025,10,October,112.23,0.330770606,3.801331853
DKI,makanan,01/11/2025,2025,11,November,112.46,0.204936292,3.212187959
DKI,makanan,01/12/2025,2025,12,December,113.66,1.067046061,2.943573952
